collectDate,uva_250,uva_280,dtpr,site
9/10/19 12:45,0.0211,0.01305,9/10/19 12:45,BARC
10/1/19 14:30,0.043,0.0304,10/1/19 14:30,BARC
11/4/19 15:00,0.0326,0.0233,11/4/19 15:00,BARC
12/9/19 13:30,0.0282,0.018,12/9/19 13:30,BARC
1/7/20 14:01,NA,0.0163,1/7/20 14:00,BARC
2/4/20 14:49,NA,0.0406,2/4/20 14:45,BARC
3/3/20 14:30,NA,0.020233333,3/3/20 14:30,BARC
6/16/20 13:18,NA,0.018966667,6/16/20 13:15,BARC
7/7/20 13:47,NA,0.0224,7/7/20 13:45,BARC
10/13/20 12:34,NA,0.0236,10/13/20 12:30,BARC
2/19/18 17:51,0.0483,0.0357,2/19/18 17:45,BIGC
3/7/18 17:31,0.1158,0.0797,3/7/18 17:30,BIGC
3/13/18 16:24,0.0991,0.0673,3/13/18 16:30,BIGC
3/28/18 17:34,0.1355,0.0876,3/28/18 17:30,BIGC
4/3/18 16:34,0.0904,0.0602,4/3/18 16:30,BIGC
4/10/18 17:35,0.1071,0.076,4/10/18 17:30,BIGC
4/23/18 17:05,0.0835,0.057,4/23/18 17:00,BIGC
4/30/18 16:58,0.1805,0.1173,4/30/18 17:00,BIGC
5/8/18 4:46,0.0723,0.049,5/8/18 4:45,BIGC
5/8/18 18:27,0.0689,0.0471,5/8/18 18:30,BIGC
5/14/18 16:21,0.0612,0.0432,5/14/18 16:15,BIGC
5/21/18 17:17,0.3159,0.2858,5/21/18 17:15,BIGC
5/29/18 18:08,0.0636,0.0405,5/29/18 18:15,BIGC
6/4/18 18:27,0.0609,0.044,6/4/18 18:30,BIGC
6/5/18 17:25,0.041,0.0255,6/5/18 17:30,BIGC
6/13/18 6:28,0.0515,0.034,6/13/18 6:30,BIGC
6/25/18 16:31,0.0533,0.036366667,6/25/18 16:30,BIGC
7/2/18 17:26,0.0532,0.0354,7/2/18 17:30,BIGC
8/14/18 16:03,0.0394,0.0258,8/14/18 16:00,BIGC
9/11/18 17:00,0.0398,0.026,9/11/18 17:00,BIGC
9/18/18 16:32,0.032166667,0.020533333,9/18/18 16:30,BIGC
10/9/18 17:28,0.0304,0.0221,10/9/18 17:30,BIGC
11/6/18 17:22,0.0536,0.0396,11/6/18 17:15,BIGC
12/4/18 18:45,0.0933,0.0649,12/4/18 18:45,BIGC
1/28/19 17:45,0.0634,0.0449,1/28/19 17:45,BIGC
3/4/19 19:54,0.0236,0.0156,3/4/19 20:00,BIGC
3/12/19 18:02,0.0928,0.0656,3/12/19 18:00,BIGC
3/26/19 17:00,0.0797,0.0517,3/26/19 17:00,BIGC
4/2/19 17:03,0.0785,0.0542,4/2/19 17:00,BIGC
4/9/19 16:46,0.0751,0.0522,4/9/19 16:45,BIGC
4/17/19 16:55,0.0828,0.0585,4/17/19 17:00,BIGC
4/22/19 16:30,0.0672,0.0462,4/22/19 16:30,BIGC
4/29/19 17:35,0.064666667,0.043666667,4/29/19 17:30,BIGC
5/6/19 18:03,0.0677,0.0452,5/6/19 18:00,BIGC
5/7/19 16:46,0.0656,0.0451,5/7/19 16:45,BIGC
5/13/19 16:48,0.066,0.0478,5/13/19 16:45,BIGC
5/22/19 20:55,0.0852,0.0604,5/22/19 21:00,BIGC
